,år,område,sektor,jobtype,numbers
364,2007,fyn,social,psykologi,150
365,2007,fyn,social,socialraadgivning,371
366,2007,fyn,social,tandlaege,115
367,2007,fyn,social,teknisksundhed,59
368,2007,fyn,social,terapi,262
369,2007,fyn,oevrige,elev,509
370,2007,fyn,oevrige,forsvar,0
371,2007,fyn,oevrige,frivilligt,33
372,2007,fyn,oevrige,student,192
373,2007,fyn,oevrige,studiepraktik,3
374,2007,fyn,oevrige,oevrige,716
375,2007,fyn,oevrige,kurseroevrige,10
376,2007,region-nordjylland,it,database,26
377,2007,region-nordjylland,it,itdrift,258
378,2007,region-nordjylland,it,itkurser,1
379,2007,region-nordjylland,it,itledelse,84
380,2007,region-nordjylland,it,internet,50
381,2007,region-nordjylland,it,systemudvikling,602
382,2007,region-nordjylland,it,telekom,93
383,2007,region-nordjylland,it,virksomhedssystemer,131
384,2007,region-nordjylland,ingenioer,byggeteknik,511
385,2007,region-nordjylland,ingenioer,elektronik,258
386,2007,region-nordjylland,ingenioer,kemi,182
387,2007,region-nordjylland,ingenioer,teknikledelse,152
388,2007,region-nordjylland,ingenioer,maskiningenioer,461
389,2007,region-nordjylland,ingenioer,medicinal,102
390,2007,region-nordjylland,ingenioer,produktionsteknik,372
391,2007,region-nordjylland,ledelse,detailledelse,0
392,2007,region-nordjylland,ledelse,freelancekonsulent,54
393,2007,region-nordjylland,ledelse,hrkurser,0
394,2007,region-nordjylland,ledelse,itledelse,84
395,2007,region-nordjylland,ledelse,institutions,406
396,2007,region-nordjylland,ledelse,leder,497
397,2007,region-nordjylland,ledelse,teknikledelse,152
398,2007,region-nordjylland,ledelse,personale,184
399,2007,region-nordjylland,ledelse,projektledelse,362
400,2007,region-nordjylland,ledelse,salgschef,176
401,2007,region-nordjylland,ledelse,topledelse,25
402,2007,region-nordjylland,ledelse,virksomhedsudvikling,0
403,2007,region-nordjylland,ledelse,oekonomichef,88
404,2007,region-nordjylland,handel,bud,100
405,2007,region-nordjylland,handel,boernepasning,173
406,2007,region-nordjylland,handel,detailhandel,2503
407,2007,region-nordjylland,handel,ejendomsservice,110
408,2007,region-nordjylland,handel,frisoer,74
409,2007,region-nordjylland,handel,hotel,1608
410,2007,region-nordjylland,handel,rengoering,1514
411,2007,region-nordjylland,handel,service,315
412,2007,region-nordjylland,handel,sikkerhed,80
413,2007,region-nordjylland,industri,blik,288
414,2007,region-nordjylland,industri,byggeri,522
415,2007,region-nordjylland,industri,elektriker,582
416,2007,region-nordjylland,industri,industri,629
417,2007,region-nordjylland,industri,jern,1010
418,2007,region-nordjylland,industri,lager,528
419,2007,region-nordjylland,industri,landbrug,245
420,2007,region-nordjylland,industri,maling,147
421,2007,region-nordjylland,industri,mekanik,496
422,2007,region-nordjylland,industri,naeringsmiddel,440
423,2007,region-nordjylland,industri,tekstil,85
424,2007,region-nordjylland,industri,transport,719
425,2007,region-nordjylland,industri,traeindustri,117
426,2007,region-nordjylland,industri,toemrer,320
427,2007,region-nordjylland,salg,design,37
428,2007,region-nordjylland,salg,ejendomsmaegler,22
429,2007,region-nordjylland,salg,grafisk,144
430,2007,region-nordjylland,salg,kommunikation,65
431,2007,region-nordjylland,salg,kultur,107
432,2007,region-nordjylland,salg,marketing,170
433,2007,region-nordjylland,salg,salg,1423
434,2007,region-nordjylland,salg,salgskurser,0
435,2007,region-nordjylland,salg,franchise,11
436,2007,region-nordjylland,salg,telemarketing,104
437,2007,region-nordjylland,undervisning,bibliotek,17
438,2007,region-nordjylland,undervisning,forskning,197
439,2007,region-nordjylland,undervisning,laerer,739
440,2007,region-nordjylland,undervisning,paedagog,1852
441,2007,region-nordjylland,kontor,akademisk,0
442,2007,region-nordjylland,kontor,ejendomsmaegler,22
443,2007,region-nordjylland,kontor,ejendomsservice,110
444,2007,region-nordjylland,kontor,finans,365
445,2007,region-nordjylland,kontor,indkoeb,161
446,2007,region-nordjylland,kontor,jura,113
447,2007,region-nordjylland,kontor,kontor,1117
448,2007,region-nordjylland,kontor,kontorkurser,1
449,2007,region-nordjylland,kontor,kontorelev,125
