,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
389,102,380597,1690,26736,medicinal,ingenioer,region-nordjylland,2007
390,372,380597,1690,26736,produktionsteknik,ingenioer,region-nordjylland,2007
391,0,380597,1929,26736,detailledelse,ledelse,region-nordjylland,2007
392,54,380597,1929,26736,freelancekonsulent,ledelse,region-nordjylland,2007
393,0,380597,1929,26736,hrkurser,ledelse,region-nordjylland,2007
394,84,380597,1929,26736,itledelse,ledelse,region-nordjylland,2007
395,406,380597,1929,26736,institutions,ledelse,region-nordjylland,2007
396,497,380597,1929,26736,leder,ledelse,region-nordjylland,2007
397,152,380597,1929,26736,teknikledelse,ledelse,region-nordjylland,2007
398,184,380597,1929,26736,personale,ledelse,region-nordjylland,2007
399,362,380597,1929,26736,projektledelse,ledelse,region-nordjylland,2007
400,176,380597,1929,26736,salgschef,ledelse,region-nordjylland,2007
401,25,380597,1929,26736,topledelse,ledelse,region-nordjylland,2007
402,0,380597,1929,26736,virksomhedsudvikling,ledelse,region-nordjylland,2007
403,88,380597,1929,26736,oekonomichef,ledelse,region-nordjylland,2007
404,100,380597,6210,26736,bud,handel,region-nordjylland,2007
405,173,380597,6210,26736,boernepasning,handel,region-nordjylland,2007
406,2503,380597,6210,26736,detailhandel,handel,region-nordjylland,2007
407,110,380597,6210,26736,ejendomsservice,handel,region-nordjylland,2007
408,74,380597,6210,26736,frisoer,handel,region-nordjylland,2007
409,1608,380597,6210,26736,hotel,handel,region-nordjylland,2007
410,1514,380597,6210,26736,rengoering,handel,region-nordjylland,2007
411,315,380597,6210,26736,service,handel,region-nordjylland,2007
412,80,380597,6210,26736,sikkerhed,handel,region-nordjylland,2007
413,288,380597,5622,26736,blik,industri,region-nordjylland,2007
414,522,380597,5622,26736,byggeri,industri,region-nordjylland,2007
415,582,380597,5622,26736,elektriker,industri,region-nordjylland,2007
416,629,380597,5622,26736,industri,industri,region-nordjylland,2007
417,1010,380597,5622,26736,jern,industri,region-nordjylland,2007
418,528,380597,5622,26736,lager,industri,region-nordjylland,2007
419,245,380597,5622,26736,landbrug,industri,region-nordjylland,2007
420,147,380597,5622,26736,maling,industri,region-nordjylland,2007
421,496,380597,5622,26736,mekanik,industri,region-nordjylland,2007
